city,ICU_regex,notes
ALGONA,AGONA,
AUBURN,^ABUR,
AUBURN,^ARB[:alnum:]*N,
AUBURN,^AU[BDN][:alnum:]*N,
AUBURN,^AURB[:alnum:]*N,
AUBURN,AUUBRN,
AUBURN,7UBURN,
AUBURN,ALBURN,
AUBURN,SOUTH AUBURN,
BAINBRIDGE ISLAND,^BAINBR,
BARING,BANING,
BARING,BEARING,
BARING,B[EO]RING,
BELLEVUE,BELE[L]*VUE,
BELLEVUE,BELVIEW,
BELLEVUE,[BD]ELL[EV],
BELLEVUE,BELLUVUE,
BELLEVUE,ELLEVUE,
BELLEVUE,FACTORIAL,
BELLINGHAM,LIGHTHOUSE MISSION,
BLACK DIAMOND,^BLACK[:space:]*DIA,
BONNEY LAKE,BONNEYLAKE,
BONNEY LAKE,BONNIE LAKE,
BOTHELL,BETHELL,
BOTHELL,^B[V]*OTHEL,
BREMERTON,B[E]*RME[R]*TON,
BREMERTON,BREMETON,
BUCKLEY,8UCKLEY,
BURIEN,^BU[IR][EINR][:alnum:]*N,
CARNATION,^C[AO]RN[:alnum:]*ON$,
CARNATION,CARNATION.,
CLYDE HILL,CLYDEHILL,
COEUR D'ALENE,COEUR D ALENE,
COLLEGE PLACE,COLLEGE    PL,
COVINGTON,CONVIN,
COVINGTON,COVIN,
CRYSTAL MOUNTAIN,CRYSTAL MOUNTIAN,
DES MOINES,DE MONIES,
DES MOINES,DEMING,
DES MOINES,DEMONES,
DES MOINES,DES[:space:]*M,
DES MOINES,MOIN,
DUVALL,^DU[BVW]AL,
EAST WENATCHEE,^EAST[:space:]*WENAT,
EAST WENATCHEE,E WENATCHEE,
EDMONDS,^ED[:alnum:]*OND,
ENUMCLAW,ENU[:alnum:]*[:space:]*C[:alnum:]*W,
ENUMCLAW,ENUMULAC,
ENUMCLAW,MCLAW,
EVERETT,EVE[:alnum:]*[TE],
FALL CITY,FALL[:alnum:]*[:space:]*CITY,
FEDERAL WAY,[DF][ER][DF]ERAL,
FEDERAL WAY,4EDERAL WAY,
FEDERAL WAY,FED[:alnum:]*[:space:]*W,
FEDERAL WAY,FEERAL WAY,
FEDERAL WAY,FER[:alnum:]*[:space:]*W[AY],
FEDERAL WAY,FER[:alnum:]*[:space:]*WAY,
FORKS,^FORK,
GENERAL DELIVERY,GENNERAL DELIVERY,
GREENWATER,GREENWAGER,
HOMELESS,COUCH SURFING,
HOMELESS,EAST UNION,
HOMELESS,SHELTERS,
HOMELESS,YWCA SHELTER,
ISSAQUAH,[AI]S[:alnum:]*AH,
ISSAQUAH,IS[:alnum:]*QUA,
KENMORE,^KE[:alnum:]*ORE,
KENMORE,^KEN$,"This may be too general, need to evaluate as more city misspellings are included"
KENMORE,AEMMORE,
KENT,^[49]ENT$,
KENT,\\ENT,
KENT,^KNET,
KENT,^KUNT,
KENT,^LEMT,
KENT,^SEAT$,ZIP is in Kent
KENT,^KENT[:space:]+[DMW],
KENT,^KENTY$,
KENT,^KE[KMNT][NT]$,
KENT,^KEKNT,
KIRKLAND,^K[IR][RK][:alnum:]*[LA]ND[:alnum:]*,
KIRKLAND,KIRKLIN,
LA PUSH,LAPUSH,
LA VERGNE,LA VFRGNF,
LAKE FOREST PARK,^LFP,
LAKE FOREST PARK,L[AK][:alnum:]*[:space:]*FOR[:alnum:]*,
SOUTH PRAIRIE,LAKE PRARIE,
LAKE STEVENS,LAKE STEVEN,
LAKEWOOD,LAKE[:space:]*WOOD,
LYNNWOOD,LYMMWOOD,
LYNNWOOD,LYNWOOD,
MAPLE VALLEY,^MAP[:alnum:]*[:space:]*VALLEY,
MAPLE VALLEY,^MAPLE$,
MARYSVILLE,MARYSILLE,
MERCER ISLAND,^MERCER[:space:]*[I]*,
MERCER ISLAND,MECER ISLAND,
MESQUITE,MOSQUITE,
MONUMENT VALLEY,MONUMENTVALLEY,
MOUNTLAKE TERRACE,MOU[NT][:alnum:]*[:space:]*[:alnum:]*AKE[:space:]*TER,
MOUNTLAKE TERRACE,MT[:alnum:]*[:space:]*[:alnum:]*AKE[:space:]*TER,
MOUNT VERNON,MT VERNON,
MUKILTEO,MULILTEO,
NEWCASTLE,^NEW[:space:]*[:alnum:]*CAST[:alnum:]*LE,
NORMANDY PARK,NAMONDY PARK,
NORMANDY PARK,NOR[:alnum:]*[:space:]*PARK,
NORTH BEND,NO[:alnum:]*[:space:]*B[AE][ND]*,
NORTH BEND,RTH BEND,Check to ensure that South Bend is not being caught with this
NORTH CHARLESTON,N CHARLESTON,
NORTH HOLLYWOOD,N HOLLYWOOD,
OLYMPIA,OLMPIA,
OROVILLE,OROVILL,
PACIFIC,^PACFIC$,
PORT ANGELES,PORTANGELES,
PORT ORCHARD,PORTORCHARD,
PORT TOWNSEND,PORT TOWNSEDN,
PUYALLUP,^PU[:alnum:]*UP,
RAVENSDALE,RAVE[MN][:alnum:]*DAL[E]*,
REDMOND,^REDM[:alnum:]*,
REDMOND,REM[D]*OND,
RENTON,[48]ENTON,
RENTON,^RENT[OE],
RENTON,^RET[N]?ON$,
RENTON,^RNETON,
RENTON,BRENTON,
RENTON,RENON,
RENTON,RENOTN,
RENTON,^BENTON$,Need to ensure Benton City is not captured too
RICHLAND,RICHAND,
SAMMAMISH,^S[AO]M[:alnum:]*SH,
SAMMAMISH,^SA$,
SAMMAMISH,SAMMAMIAH,
SEATAC,S[EA][:alnum:]*[:punct:]*[:space:]*TA[CPS][:alnum:]*,Need to ensure Seattle is not captured too
SEATAC,S[EA][:alnum:]*[:punct:]*[:space:]*TC,
SEATTLE,[.478DS]EA[:alnum:]*[KLT]E,
SEATTLE,^RAIN[EI]ER,
SEATTLE,^SEA$,"Currently all ZIPs are in Seattle, watch out for Seatac"
SEATTLE,^WA$,Currently all ZIPs are in Seattle
SEATTLE,06ATTLE,
SEATTLE,BALLARD,
SEATTLE,BEACON HILL,
SEATTLE,BELLTOWN,
SEATTLE,CROWN HILL,
SEATTLE,DOWNTOWN FREMONT,
SEATTLE,EATTLE,Long list needed for Seattle to ensure Seatac is not also captured
SEATTLE,INTERNATIONAL,Currently only referring to the International District but check no overseas addresses are captured
SEATTLE,LAKE[:space:]*CITY,
SEATTLE,S[AE]TTLE,
SEATTLE,SE00TLE00,
SEATTLE,MADISON PARK,
SEATTLE,SEATT,
SEATTLE,SEATTEL,
SEATTLE,SEATTL,
SEATTLE,STATTLE,
SHORELINE,SHO[ER][:alnum:]*[:space:]*LI[EN]*,
SHORELINE,RICHMOND BEACH,
SILVERDALE,SILVER[:space:]*DALE,
SIOUX CITY,SIOUXCITY,
SKYKOMISH,SKY[H]*OMISH,
SKYKOMISH,SQYQOMINISH,
SNOQUALMIE,S[MN]O[:alnum:]*Q[:alnum:]*[IM][IM][AE][:space:]*[:alnum:]*,
SOUTH PRAIRIE,SOUTH PRARIE,
SUMNER,SUM[:alnum:]*ER,
TACOMA,NORTH EAST TACOMA,
TUKWILA,TUKWIL$,
TUKWILA,^UKWILA,
TUKWILA,PUKWILA,
TUKWILA,SOUTHCENTER,
TUKWILA,TAKWIL[L]*A,
TUKWILA,TEQUILLA,
TUKWILA,TU[AKQRW][:alnum:]*[IL][KLW]A,
TUKWILA,TUCKWILLA,
TUKWILA,TUKWILIA,
UNIVERSITY PLACE,UNIVERISTY PL,
UNIVERSITY PLACE,UNIVERSITY PL,
UNKNOWN,/DONELE,Cannot find a match for this
UNKNOWN,NO CITY,
UNKNOWN,NONE,
UNKNOWN,NULL,
UNKNOWN,UNKNOW,
UNKNOWN,WASHINGTON,
VAN ZANDT,VAN ZANT,
VASHON,BASHON,
VASHON,VAS[:alnum:]*ON,
WILKESON,WILSESON,
WOODINVILLE,^WOOD[:alnum:]*LL[E]*,
WOODINVILLE,BOODINWILLE,
WOODINVILLE,WOODEN VILLE,
